model_name,provider_count,prompt_min,prompt_max,prompt_avg,completion_min,completion_max,completion_avg,max_output_tokens_min,max_output_tokens_max,max_output_tokens_avg
o4-mini-high-long,1,1.10,1.10,1.10,4.40,4.40,4.40,100000,100000,100000
gemini-2.5-pro,3,1.25,1.25,1.30,10.00,10.00,10.00,65536,65536,65536
claude-4-sonnet-0522-thinking,5,3.00,3.00,3.00,15.00,15.00,15.00,64000,64000,64000
gemini-2.5-flash-high,2,0.30,0.30,0.30,2.50,2.50,2.50,65535,65535,65535
grok-3-mini-think,2,0.30,0.60,0.50,0.50,4.00,2.30,0,0,0
magistral-medium-2506-thinking,1,2.00,2.00,2.00,5.00,5.00,5.00,40000,40000,40000
qwen3-235b-a22b-think,8,0.13,0.22,0.20,0.60,2.00,0.90,20000,40960,35720
qwen3-30b-a3b-think,6,0.08,0.15,0.10,0.29,0.60,0.40,16384,40960,29576
deepseek-r1-0528,14,0.50,5.00,1.50,2.15,8.00,3.90,7168,163840,99820
deepseek-r1,11,0.45,3.00,1.30,2.15,8.00,4.00,4096,163840,86912
magistral-small-2506,1,0.50,0.50,0.50,1.50,1.50,1.50,40000,40000,40000
claude-3-7-sonnet-20250219,5,3.00,3.00,3.00,15.00,15.00,15.00,64000,128000,89600
deepseek-r1-distill-qwen-7b,1,0.10,0.10,0.10,0.20,0.20,0.20,0,0,0
